,breadscrum,cod_item,cod_item_pai,nome,situacao,sigiloso,assunto_secundario,crime_antecedente,just_es_2grau,just_es_juizado_es,just_es_turmas,just_es_1grau_mil,just_es_2grau_mil,just_es_juizado_es_fp,just_tu_es_un,just_fed_1grau,just_fed_2grau,just_fed_juizado_es,just_fed_turmas,just_fed_nacional,just_fed_regional,just_trab_1grau,just_trab_2grau,just_trab_tst,just_trab_csjt,stf,stj,cjf,cnj,just_mil_uniao_1grau,just_mil_uniao_stm,just_mil_est_1grau,just_mil_est_tjm,just_elei_1grau,just_elei_2grau,just_elei_tse
1835,9985:10324:10337:10351,10351,10337,Agregação,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1836,9985:10324:10337:10352,10352,10337,Reserva Remunerada,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1837,9985:10324:10337:10353,10353,10337,Transferência ex-officio para reserva,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1838,9985:10324:10337:10354,10354,10337,Tempo de Serviço,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1839,9985:10324:10337:10355,10355,10337,Transferência para reserva,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1840,9985:10324:10337:10356,10356,10337,Assistência Médico-Hospitalar,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1841,9985:10324:10337:10357,10357,10337,Licença Prêmio,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1842,9985:10324:10337:10358,10358,10337,Licenciamento,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1843,9985:10324:10359,10359,10324,Pensão,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1844,9985:10324:10359:10360,10360,10359,Concessão,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1845,9985:10324:10359:10361,10361,10359,Restabelecimento,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1846,9985:10324:10359:10362,10362,10359,Provisória,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1847,9985:10324:10363,10363,10324,Processo Administrativo Disciplinar / Sindicância,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1848,9985:10324:10363:10364,10364,10363,Advertência / Repreensão,A,N,N,N,S,N,N,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,S,S,S,S,S
1849,9985:10324:10363:10365,10365,10363,Impedimento / Detenção / Prisão,A,N,N,N,S,N,N,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,S,S,S,S,S
1850,9985:10324:10363:10366,10366,10363,Licenciamento / Exclusão,A,N,N,N,S,N,N,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,S,S,S,S,S
1851,9985:10324:10363:10367,10367,10363,Suspensão,A,N,N,N,S,N,N,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,S,S,S,S,S
1852,9985:10370,10370,9985,Concurso Público / Edital,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,S,N,N,N,N,S,S,S
1853,9985:10370:10371,10371,10370,Reserva de Vagas para Deficientes,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,S,N,N,N,N,S,S,S
1854,9985:10370:10372,10372,10370,Inscrição / Documentação,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,S,N,N,N,N,S,S,S
1855,9985:10370:10373,10373,10370,Limite de Idade,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,S,N,N,N,N,S,S,S
1856,9985:10370:10374,10374,10370,Exigência de Prática Forense,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,S,N,N,N,N,S,S,S
1857,9985:10370:10375,10375,10370,Prova de Títulos,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,S,N,N,N,N,S,S,S
1858,9985:10370:10376,10376,10370,Exame de Saúde e/ou Aptidão Física,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,S,N,N,N,N,S,S,S
1859,9985:10370:10377,10377,10370,Curso de Formação,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,S,N,N,N,N,S,S,S
1860,9985:10370:10378,10378,10370,Exame Psicotécnico / Psiquiátrico,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,S,N,N,N,N,S,S,S
1861,9985:10370:10379,10379,10370,Anulação e Correção de Provas / Questões,A,N,N,N,S,N,N,S,S,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,S,N,N,S,S,S,S,S
1862,9985:10370:10380,10380,10370,Escolaridade,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,S,N,N,N,N,S,S,S
1863,9985:10370:10381,10381,10370,Classificação e/ou Preterição,A,N,N,N,S,N,N,S,S,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,S,S,S,S,S
1864,9985:10370:10382,10382,10370,Anulação,A,N,N,N,S,N,N,S,S,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,S,S,S,S,S
1865,9985:10370:10383,10383,10370,Prazo de Validade,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,S,N,N,N,N,S,S,S
1866,9985:10370:10384,10384,10370,Condições Especiais para Prestação de Prova,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,S,N,N,N,N,S,S,S
1867,9985:10385,10385,9985,Licitações ,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,S,N,N,N,N,S,S,S
1868,9985:10385:10386,10386,10385,Modalidade / Limite / Dispensa / Inexigibilidade,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1869,9985:10385:10387,10387,10385,Habilitação / Registro Cadastral / Julgamento / Homologação,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1870,9985:10385:10388,10388,10385,Edital,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,S,N,N,N,N,S,S,S
1871,9985:10385:10389,10389,10385,Revogação,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1872,9985:10385:10390,10390,10385,Sanções Administrativas,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1873,9985:10385:10391,10391,10385,Recursos Administrativos,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1874,9985:10385:10392,10392,10385,Convênio,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1875,9985:10385:10393,10393,10385,Adjudicação,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1876,9985:10394,10394,9985,Dívida Ativa não-tributária,A,N,,N,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1877,9985:10394:10395,10395,10394,Multas e demais Sanções,A,N,N,N,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1878,9985:10394:10395:10396,10396,10395,Ambiental,A,N,N,N,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1879,9985:10394:10395:10397,10397,10395,Sanitárias,A,N,N,N,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1880,9985:10394:10395:10398,10398,10395,Metrológica,A,N,,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1881,9985:10394:10395:10399,10399,10395,Profissional,A,N,,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1882,9985:10394:10395:10400,10400,10395,Segurança e/ou Medicina do Trabalho,A,N,,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1883,9985:10394:10401,10401,10394,Taxa de Ocupação / Laudêmio / Foro,A,N,N,N,S,N,N,N,N,S,S,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1884,9985:10394:10402,10402,10394,Cessão de créditos não-tributários,A,N,N,N,S,N,N,N,N,S,S,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1885,9985:10403,10403,9985,Organização Sindical,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1886,9985:10403:10404,10404,10403,Contribuição Sindical,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1887,9985:10403:10405,10405,10403,Eleições Sindicais,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1888,9985:10403:10406,10406,10403,Registro Sindical,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1889,9985:10403:10407,10407,10403,Dilação e Extensão de Base Territorial,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1890,9985:10403:10408,10408,10403,Filiação,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1891,9985:10409,10409,9985,Empregado Público / Temporário,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1892,9985:10409:10410,10410,10409,Contrato Temporário de Mão de Obra L 8.745/1993,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1893,9985:10409:10411,10411,10409,Admissão / Permanência / Despedida,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1894,9985:10412,10412,9985,Comissão Parlamentar de Inquérito - CPI,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1895,9985:10412:10413,10413,10412,Quebra de Sigilo Bancário / Fiscal / Telefônico,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1896,9985:10412:10414,10414,10412,Criação / Instalação / Prosseguimento / Encerramento,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1897,9985:10412:10415,10415,10412,Limites dos Poderes de Investigação,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1898,9985:10412:10416,10416,10412,Limites do Objeto,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1899,9985:10417,10417,9985,Sistema Nacional de Trânsito,A,,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1900,9985:10417:10418,10418,10417,CNH - Carteira Nacional de Habilitação,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1901,9985:10417:10419,10419,10417,Liberação de Veículo Apreendido,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1902,9985:10417:10420,10420,10417,Licenciamento de Veículo,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,N,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1903,9985:10421,10421,9985,Contratos Administrativos,A,,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1904,9985:10421:10422,10422,10421,Pagamento Atrasado / Correção Monetária,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1905,9985:10421:10423,10423,10421,Anulação,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1906,9985:10421:10424,10424,10421,Suspensão,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1907,9985:10421:10425,10425,10421,Rescisão,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1908,9985:10421:10426,10426,10421,Prorrogação,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1909,9985:10421:10427,10427,10421,Termo Aditivo,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1910,9985:10421:10428,10428,10421,Penalidades,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1911,9985:10421:10429,10429,10421,Execução Contratual,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1912,9985:10421:10430,10430,10421,Equilíbrio Financeiro,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1913,899:10431,10431,899,Responsabilidade Civil,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1914,899:10432,10432,899,Coisas,A,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1915,899:10431:10433,10433,10431,Indenização por Dano Moral,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1916,899:10431:10433:10434,10434,10433,Erro Médico,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1917,899:10431:10433:10435,10435,10433,Acidente de Trânsito,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1918,899:10431:10433:10436,10436,10433,Lei de Imprensa,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1919,899:10431:10433:10437,10437,10433,Direito de Imagem,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1920,899:10431:10438,10438,10431,Dano Ambiental,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1921,899:10431:10439,10439,10431,Indenização por Dano Material,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1922,899:10431:10439:10440,10440,10439,Erro Médico,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1923,899:10431:10439:10441,10441,10439,Acidente de Trânsito,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1924,899:10431:10439:10442,10442,10439,Lei de Imprensa,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1925,899:10431:10439:10443,10443,10439,Direito de Imagem,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1926,899:10432:10444,10444,10432,Posse,A,N,N,,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1927,899:10432:10444:10445,10445,10444,Esbulho / Turbação / Ameaça,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1928,899:10432:10444:10446,10446,10444,Imissão,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1929,899:10432:10444:10447,10447,10444,Aquisição,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1930,899:10432:10448,10448,10432,Propriedade,A,N,N,N,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1931,899:10432:10448:10449,10449,10448,Perda da Propriedade,A,N,N,N,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1932,899:10432:10448:10450,10450,10448,Adjudicação Compulsória,A,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1933,899:10432:10448:10451,10451,10448,Divisão e Demarcação,A,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1934,899:10432:10448:10452,10452,10448,Reivindicação,A,N,N,,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1935,899:10432:10448:10453,10453,10448,Retificação de Área de Imóvel,A,N,N,,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1936,899:10432:10448:10454,10454,10448,Alienação Judicial,A,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1937,899:10432:10448:10455,10455,10448,Aquisição,A,N,N,N,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1938,899:10432:10448:10455:10456,10456,10455,Acessão,A,N,N,N,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1939,899:10432:10448:10455:10457,10457,10455,Usucapião Especial (Constitucional),A,N,N,N,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1940,899:10432:10448:10455:10458,10458,10455,Usucapião Extraordinária,A,N,N,N,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1941,899:10432:10448:10455:10459,10459,10455,Usucapião Ordinária,A,N,N,N,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1942,899:10432:10448:10455:10460,10460,10455,Usucapião Especial Coletiva,A,N,N,N,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1943,899:10432:10448:10461,10461,10448,Direito de Vizinhança,A,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1944,899:10432:10448:10462,10462,10448,Condomínio,A,N,N,N,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1945,899:10432:10448:10463,10463,10448,Condomínio em Edifício,A,N,N,,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1946,899:10432:10448:10463:10464,10464,10463,Administração,A,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1947,899:10432:10448:10463:10465,10465,10463,Alteração de Coisa Comum,A,N,N,,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1948,899:10432:10448:10463:10466,10466,10463,Assembléia,A,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1949,899:10432:10448:10463:10467,10467,10463,Despesas Condominiais,A,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1950,899:10432:10448:10463:10468,10468,10463,Direitos / Deveres do Condômino,A,N,N,,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1951,899:10432:10448:10463:10469,10469,10463,Vaga de garagem,A,N,N,,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1952,899:10432:10448:10470,10470,10448,Incorporação Imobiliária,A,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1953,899:10432:10448:10480,10480,10448,Propriedade Resolúvel,A,N,N,,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1954,899:10432:10448:10481,10481,10448,Propriedade Fiduciária,A,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1955,899:10432:10482,10482,10432,Enfiteuse,A,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1956,899:10432:10483,10483,10432,Servidão,A,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1957,899:10432:10484,10484,10432,Usufruto,A,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1958,899:10432:10485,10485,10432,Superfície,A,N,N,,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1959,899:10432:10486,10486,10432,Uso,A,N,N,,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1960,899:10432:10487,10487,10432,Habitação,A,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1961,899:10432:10488,10488,10432,Penhor,A,N,N,N,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1962,899:10432:10488:10489,10489,10488,Rural - Agrícola/Pecuário,A,N,N,N,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1963,899:10432:10488:10490,10490,10488,Industrial / Mercantil,A,N,N,N,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1964,899:10432:10488:10491,10491,10488,Direitos e Títulos de Crédito,A,N,N,N,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1965,899:10432:10488:10492,10492,10488,Veículos,A,N,N,N,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1966,899:10432:10488:10493,10493,10488,Legal,A,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1967,899:10432:10494,10494,10432,Hipoteca,A,N,N,N,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1968,899:10432:10495,10495,10432,Anticrese,A,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1969,899:10432:10496,10496,10432,Promessa de Compra e Venda,A,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1970,9985:10219:10288:10497,10497,10288,Subsídios,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1971,899:10432:10448:4654:10499,10499,4654,Programa de Computador,A,N,N,N,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1972,899:10432:10448:10455:10500,10500,10455,Usucapião da L 6.969/1981,A,N,N,N,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1973,899:7681:9580:10501,10501,9580,Crédito Rural,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1974,9985:9991:10502,10502,9991,Indenização por Dano Material,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1975,9985:9991:10502:10503,10503,10502,Erro Médico,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1976,9985:9991:10502:10504,10504,10502,Acidente de Trânsito,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1977,9985:9991:10502:10505,10505,10502,Variação Cambial,A,N,N,N,S,N,N,N,N,S,S,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
1978,287:3388:10508,10508,3388,Maus Tratos,A,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
1979,287:3388:10509,10509,3388,Exposição ou Abandono de Recém Nascido,A,N,N,N,S,S,N,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
1980,9985:10324:10363:10512,10512,10363,Responsabilidade Civil do Militar - Indenização ao Erário,A,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,S,S,S
